"Title","Platform","Chipset","Edition","Release","Publisher","Box Size","Genre","WHDload Installed","WHDload does not exist","Tested","Complete","Copy Protection","Paid","Sold","Hall of Light Rarity","Top 50 Rank","Top 50 Comment","Lemon Rating"
"CarVup","Amiga","","Original","1991","Core Design","Mid size","Platform","Yes","No","Yes, Working","No, missing manual","Disk","95 ((£9,86+£5,35)/2)","","","","",""
"Cash","Amiga","","Original","1991","Max Design GesMBH","Mid Size","Strategy","No","Yes","Yes, Working","Yes","Manual","","","Extremely Rare","","",""
"Castle Master","Amiga","","Original","1990","Domark","Tall","Action","Yes","No","","Yes","","","","","","",""
"Castle of Dr. Brain","Amiga","OCS","Original","1992","Sierra On-Line","Sierra","Adventure, Educational","Yes","No","Yes, Not Working (read error)","Yes","Manual","","","","","",""
"Catch 'Em","Amiga","OCS","Original","1992","Global Software","Big Box","Platform","Yes","No","","Yes","Disk","","","","","",""
"Centurion: Defender of Rome","Amiga","","Original","1991","Electronic Arts","Mid size","Action, Strategy","Yes","No","","Yes","","","","","","",""
"Challenge Golf","Amiga","OCS","Original","1991","On-Line Entertainment Ltd.","Mid Size","Sports","No","Yes","","Yes","Disk","","","","","",""
"Chambers of Shaolin","Amiga","","Original","1989","Grandslam Entertainments Ltd.","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Champ","Amiga","","Original","1989","Linel","Mid Size","Fighting","Yes","No","Yes, Working","Yes, Also includes boxing gloves key ring","Disk","","","Extremely Rare","","",""
"Champion Driver","Amiga","","Original","1991","Idea Software","Mid Size","Racing","Yes","No","Yes, Not Working (disk seams ok, but can't get past copy protection, gives graphical error)","Yes","Manual","130 (75+55)","","","","",""
"Champion Of The Raj","Amiga","OCS","Original","1991","PSS","Mid Size","Strategy","No","Yes","","Yes","","90 (50+40)","","","","",""
"Champions of Krynn","Amiga","OCS","Original","1990","SSI","Mid Size","Role-Playing (RPG)","Yes","No","Yes, Working","Yes, but german version","Manual","","","","","",""
"Championship Baseball","Amiga","","Original","1987","Gamestar","Mid Size","Sports","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Championship Manager Italia","Amiga","OCS","Original","1993","Domark","Big Box","Simulation, Sports","No","Yes","","Yes","","","","","","",""
"The Chaos Engine","Amiga","OCS","Original","1993","Renegade","Big Box","Action","Yes","No","Yes, Not fully working (Graphical errors)","Yes","Disk","","","","","",""
"The Chaos Engine AGA","Amiga","AGA","Original","1993","Renegade","Big Box","Action","Yes","No","Yes, Not Working","Yes","Disk","","","","","",""
"Chariots Of Wrath","Amiga","OCS","Original","1989","Impressions","Mid Size","Multi","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Charly (Magic Soft)","Amiga","","Original","1991","Magic Soft","Mid Size","Puzzle","No","Yes","Yes, Working","Yes","Disk","67 (49+(53/3))","","","","",""
"Charon 5","Amiga","OCS","Original","1988","Mindware - Worldwide","Custom","Shooter","No","Yes","Yes, Working","Yes","Disk","","","","","",""
"Chase H.Q.","Amiga","","Original","1989","Ocean","Mid size","Action, Racing","Yes","No","Yes, Not Working (one disk has disk validation error other stuck on black screen","Yes, two disks","","","","","","",""
"Checkmate","Amiga","OCS","Original","1990","Interplay Entertainment Corp.","Big Box","games","No","Yes","Yes, Not Working (disk is unreadable)","Yes","","176 ($13+($43,65/3)","","","","",""
"The Chessmaster 2000","Amiga","OCS","Original","1986","Electronic Arts","Jewel Case","games","Yes","No","Yes, Not Working (read error)","Yes","","","","","","",""
"Chip's Challenge","Amiga","OCS","Original","1990","U.S. Gold","Big Box","Puzzle","Yes","No","Yes, Working","Yes","Code Wheel","","","","","",""
"Chronicles of Omega","Amiga","","Original","1990","ARC","Mid size","Platform","Yes","No","","Yes","","77 (£5,63+£0,50)","","","","",""
"Chrono Quest","Amiga","OCS","Original","1988","Psygnosis","Custom","Adventure","Yes","No","Yes, Working","Yes","Overlay for box art","17.41","","","","",""
"Chrono Quest II","Amiga","OCS","Original","1990","Psygnosis","Custom","Adventure","Yes","No","Yes, Working","Yes, two set of disks","","218 £17,41","","","","",""
"Chuck Rock","Amiga","","Original","1991","Core Design","Mid size","Platform","Yes","No","Yes, Not Working","No, missing manual","Disk","116 (£8,76+£0,50)","","","","",""
"Chuck Rock II: Son of Chuck","Amiga","","Original","1993","Core Design","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Chuck Yeager's Advanced Flight Trainer 2.0","Amiga","","Original","1990","Electronic Arts","Mid size","Simulation","Yes","No","","Yes","","","","","","",""
"Circus Attractions","Amiga","","Original","1989","Rainbow Arts Software GmbH","Mid size","Action, Sports","Yes","No","Yes, Not Working (stuck on white screen)","Yes","","39 (15+24)","","","","",""
"Cisco Heat: All American Police Car Race","Amiga","OCS","Original","1991","Image Works","Big Box","Action, Racing","Yes","No","Yes, Not fully working scrabled grapghics and random restarts","Yes, two disks","Disk","","","","","",""
"CJ in the USA","Amiga","","Original","1992","Codemasters","Small cardboard","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Classic Arcadia & Baby Arcadia","Amiga","","Original","1994","Alternative Software Ltd.","Big Box","Shooter","Yes","No","Yes, Working","Yes","Disk","75 (59+(48/3))","","","","",""
"Classic Board Games","Amiga","OCS","Original","1990","Merit Software","Big Box","Board Games","Yes","No","","Yes","","","","","","",""
"Cliffhanger","Amiga","OCS","Original","1994","Psygnosis","Big Box","Action","Yes","No","Yes, Not Working (stops loading after intro)","Yes","Disk","615 (€39,95+€16,00)","","","","",""
"Cloud Kingdoms","Amiga","OCS","Original","1990","Millennium","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Club & Country","Amiga","OCS","Original","1995","BOMS Computer Games Ltd.","Big Box","Sports, Strategy","No","Yes","","Yes","","","","","","",""
"Club Football: The Manager","Amiga","OCS","Original","1994","B.O.M.S.","Big Box","Sports","No","Yes","","Yes","","","","","","",""
"The Clue!","Amiga","AGA","Original","1994","Neo","Big Box","Adventure","Yes","No","Yes, Not Working","Yes","","","","","","",""
"Coala","Amiga","AGA & ECS","Original","1995","Empire","Big Box","Simulation","Yes","No","Yes, Working","Yes","Code Sheet","91 (£6,76+£0,50)","","","","",""
"Code-Name: Iceman","Amiga","OCS","Original","1990","Sierra On-Line","Sierra","Adventure","Yes","No","","Yes","Manual","","","","","",""
"The Colonel's Bequest","Amiga","OCS","Original","1990","Sierra On-Line","Sierra","Adventure","Yes","No","","Yes","Code Booklet","","","","","",""
"The Colony","Amiga","OCS","Original","1990","Mindscape","Custom","Action Adventure","Yes","No","Yes, Working","Yes","None","","","","","",""
"Colossus Chess X","Amiga","","Original","1989","CDS Software Ltd","Mid size","Strategy","Yes","No","Yes, Not Working (disk has read/write error)","Yes","","","","","","",""
"Combat Air Patrol","Amiga","OCS","Original","1993","Psygnosis","Big Box","Simulation","Yes","No","Yes, Working","Yes","Manual","","","","","",""
"Combo Racer","Amiga","","Original","1990","Gremlin","Mid size","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Commando","Amiga","OCS","Original","1989","Elite","Jewel Case","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Computer Edition of Risk: The World Conquest Game","Amiga","","Original","1989","Mastertronic Ltd.","Small cardboard","Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Conflict","Amiga","","Original","1990","Virgin Mastertronic Ltd.","Tall","Simulation, Strategy","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Conflict: Europe","Amiga","OCS","Original","1989","PSS","Mid size","Strategy","Yes","No","","Yes, two disks","","","","","","",""
"Conflict: Middle East","Amiga","OCS","Original","1991","SSI","Tall","Strategy","No","Yes","Yes, Not Working (read error)","Yes","","105 (56+49)","","","","",""
"Conqueror","Amiga","","Original","1990","Rainbow Arts","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","77 (£5,63+£0,50)","","","","",""
"Conquests of Camelot: The Search for the Grail","Amiga","OCS","Original","1990","Sierra On-Line","Sierra","Adventure","Yes","No","","Yes","","","","","","",""
"Continental Circus","Amiga","OCS","Original","1989","Virgin","Mid size","Racing","Yes","No","Yes, Not Working","Yes","Disk","","","","","",""
"Cool Croc Twins","Amiga","","Original","1992","Arcade Masters","","Platform","Yes","No","","","","107 (89+(53/3)) ex 2 - 41 (£2,81+£0,50)","","","","",""
"Cool Spot","Amiga","OCS","Original","1993","Virgin","Big Box","Action","Yes","No","Yes, Not fully working get stuck loading after intro","Yes","Disk","","","","","",""
"Corporation","Amiga","","Original","1990","Core Design","Mid size","Action","Yes","No","Yes, Working","Yes, two disks and two manuals","Disk","","","","","",""
"Cosmic Bouncer","Amiga","OCS","Original","1988","ReadySoft Incorporated","Custom","Action","Yes","No","No, Shrink wrapped","Yes, shrink wrapped","","","","","","",""
"Cosmic Spacehead","Amiga","","Original","1993","Codemasters","Big Box","Action, Adventure","Yes","No","","Yes","","","","","","",""
"Crack Down","Amiga","OCS","Original","1990","U.S. Gold","Mid size","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Crazy Cars 2","Amiga","OCS","Original","1989","Titus","Mid size","Racing","Yes","No","","Yes, Also disk from Infogrames","Disk","236 (£14,99+£3,90)","","","","",""
"Crazy Cars III","Amiga","OCS","Original","1992","Titus France SA","Big Box","Racing","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Creatures","Amiga","","Original","1993","Thalamus","Mid Size","Platform","Yes","No","Yes, Not Working (stuck on insert disk 1)","Yes","","","","","","",""
"Cribbage King & Gin King","Amiga","","Original","1990","Software Toolworks, Inc., The","","Cards & Casion","No","Yes","","","","134 (85+49)","","","","",""
"Cricket","Amiga","","Original","1990","Soundware","Mid Size","Sports","No","Yes","Yes, Working","Yes","Manual","","","","","",""
"Crossbow: The Legend of William Tell","Amiga","","Original","1990","Screen 7","Mid Size","Action Adventure","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Cruise for a Corpse","Amiga","OCS","Original","1991","U.S. Gold","Big Box","Adventure","Yes","No","Yes, Working","Yes, two set of disks","Code Wheel","","","","","",""
"Cruncher Factory","Amiga","OCS","Original","1987","Anco","Small Jewelcase","Puzzle","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Crystal Dragon","Amiga","OCS","Original","1994","Black Legend","Big Box","Role-Playing (RPG)","Yes","No","","Yes","","","","","","",""
"Crystals of Arborea","Amiga","","Original","1990","Silmarils","Mid Size","Role-Playing (RPG)","Yes","No","Yes, Not Working (disk is empty)","Yes","","","","","","",""
"Curse of Enchantia","Amiga","","Original","1992","Core Design","Big Box","Adventure","Yes","No","","Yes, two manuals","","","","","","",""
"The Curse Of RA","Amiga","","Original","1990","Rainbow Arts","Mid size","Puzzle","Yes","No","Yes, Not Working (not  a dis disk)","Yes","Manual","","","","","",""
"Curse of the Azure Bonds","Amiga","OCS","Original","1990","SSI","Mid Size","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","Code Wheel","","","","","",""
"Cyber World","Amiga","OCS","Original","1990","Magic Bytes","Mid Size","Maze game","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Cyberball","Amiga","OCS","Original","1990","Tengen","Mid Size","Sports","Yes","No","Yes, Working","Yes","Disk","69 (£5,00+£0,50)","","","","",""
"Cybercon III","Amiga","OCS","Original","1991","U.S. Gold","Big Box","Action, Adventure","Yes","No","Yes, Working","Yes","Code Wheel","","","","","",""
"Cybernoid II: The Revenge","Amiga","OCS","Original","1989","Hewson","Mid size","Shooter","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Cyberpunks","Amiga","","Original","1993","Core Design","Big Box","Shooter","Yes","No","","Yes","","","","","","",""
"Cytron","Amiga","OCS","Original","1992","Psygnosis","Big Box","Action","Yes","No","Yes, Working","Yes, two set of disks and manuals","","","","","","",""
"Daily Double Horse Racing","Amiga","","Original","1989","CDS Software Ltd","Mid Size","Sports","No","Yes","Yes, Working","Yes, 2 versions of original disk","Manual (big results sheet)","","","","","",""
"Dalek Attack","Amiga","OCS","Original","1992","Alternative Software Ltd.","Big Box","Action","Yes","No","","Yes","Disk","","","","","",""
"Damocles: Mercenary II","Amiga","OCS","Original","1990","Novagen","Custom","Adventure, Simulation","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"The Dark Queen of Krynn","Amiga","","Original","1992","SSI","SSI","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","","","","","","",""
"Darkman","Amiga","","Original","1991","Ocean","Mid Size","Action","Yes","No","Yes, Working","Yes","Disk","69 (£9,86/3 + £6,80/3)","","","","",""
"Darkmere","Amiga","","Original","1994","Core Design","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Dawn Patrol","Amiga","OCS","Original","1995","Empire","Big Box","Simulation","Yes","No","Yes, Working","Yes","","","","","","",""
"Day of the Viper","Amiga","","Original","1989","Accolade","Mid Size","Action","Yes","No","Yes, Working","Yes","Code Wheel","","","","","",""
"Death Knights of Krynn","Amiga","","Original","1991","U.S. Gold","SSI","Role-Playing (RPG)","Yes","No","Yes, Working","Yes","","","","","","",""
"Death Mask","Amiga","OCS","Original","1995","Alternative Software Ltd.","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Deathbringer: The Sword Of Abaddon","Amiga","","Original","1991","Empire","Big long","Fighting","Yes","No","","Yes","","115 (60+55)","","","","",""
"The Deep","Amiga","OCS","Original","1988","U.S. Gold","Jewel Case","Action","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Deep Space","Amiga","OCS","Original","1986","Psygnosis","Custom","Shooter","Yes","No","Yes, Not Working (Error vaildating disk, Disk is unreadable)","No, missing manual","","102 (74+28)","","","","",""
"Defender II","Amiga","","Original","1990","ARC","Mid size","Shooter","Yes","No","","Yes","","77 (£5,63+£0,50)","","","","",""
"Defender of the Crown","Amiga","","Original","1986","Cinemaware","Custom","Strategy","Yes","No","Yes, Working","Yes","None","","","","","",""
"Déjà Vu: A Nightmare Comes True!!","Amiga","","Original","1987","Mindscape, Inc.","Booklet","Adventure","Yes","No","","Yes","","","","","","",""
"Demon Blue","Amiga","OCS","Original","1992","Microvalue","Small cardboard","Platform","Yes","No","Yes, Working","Yes","Disk","","","","","",""
"Demon's Winter","Amiga","OCS","Original","1989","SSI","Tall","Role-Playing (RPG)","No","Yes","Yes, Not Working (Error vaildating disk, Disk is unreadable)","Yes","","","","","","",""
"Dennis","Amiga","","Original","1993","Ocean","Big Box","Action","Yes","No","","Yes","","","","","","",""
"Desert Strike: Return to the Gulf","Amiga","","Original","1993","Electronic Arts","Big Box","Action","Yes","No","","Yes, two set of disks","","","","","","",""
"Designasaurus","Amiga","OCS","Original","1989","Britannica","Custom","Multi","No","Yes","Yes, Working","Yes, but printing paper already used","None","","","","","",""
"Detroit","Amiga","OCS","Original","1994","Impressions","Big Box","Simulation","Yes","No","Yes, Not Working (read error)","Yes","Manual","","","","","",""
"Deuteros: The Next Millennium","Amiga","OCS","Original","1991","Activision (UK) Limited","Big Box","Strategy","Yes","No","Yes, Working","Yes, extra disk 1","Disk","","","","","",""
"Devious Designs","Amiga","OCS","Original","1991","Image Works","Big Box","Puzzle","Yes","No","Yes, Not Working (game load but data disk has error)","Yes","Disk","123 (119+(79/19)) ex 2 - 89 (49-40)","","","","",""
"Dick TRacy","Amiga","","Original","1990","Titus","Mid Size","Shooter","Yes","No","Yes, Not Working (Loads fine to title sceen but then locks and makes strage noices)","Yes","Disk","39 (9+30)","","","","",""
